Year,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
High_2,nan,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,nan,nan,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0
Dur_5,nan,nan,13.0,20.0,3.0,71.0,79.0,nan,30.0,5.0,51.0,3.0,nan,nan,nan,24.0,24.0,5.0,4.0,9.0,12.0,46.0,10.0,nan,6.0,1.0
Fre_5,nan,nan,5.0,5.0,3.0,13.0,10.0,nan,5.0,4.0,10.0,1.0,nan,nan,nan,8.0,4.0,4.0,3.0,3.0,4.0,6.0,5.0,nan,3.0,1.0
High_5,nan,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,nan,nan,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0
Dur_10,nan,16.0,31.0,41.0,12.0,97.0,109.0,nan,68.0,33.0,100.0,13.0,nan,nan,nan,64.0,39.0,24.0,23.0,22.0,25.0,63.0,25.0,nan,19.0,5.0
Fre_10,nan,8.0,4.0,7.0,5.0,9.0,5.0,nan,10.0,7.0,9.0,2.0,nan,nan,nan,11.0,5.0,7.0,5.0,4.0,5.0,7.0,6.0,nan,6.0,4.0
High_10,nan,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,nan,nan,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0,4220.0
Dur_20,nan,53.0,61.0,83.0,58.0,143.0,147.0,16.0,109.0,74.0,159.0,30.0,21.0,nan,nan,137.0,78.0,73.0,46.0,54.0,63.0,95.0,60.0,1.0,75.0,22.0
Fre_20,nan,9.0,5.0,11.0,10.0,7.0,8.0,5.0,5.0,8.0,6.0,3.0,4.0,nan,nan,7.0,4.0,10.0,6.0,4.0,9.0,10.0,6.0,1.0,9.0,4.0
High_20,nan,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,nan,nan,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0
